player_id,Name,Sex,Team,NOC,Year,Season,City,Sport,Event,Medal
193364,Norman (-trevor),M,India,IND,1900,Summer,Paris,Athletics,Athletics Men's 60 metres,No medal
193365,Norman (-trevor),M,India,IND,1900,Summer,Paris,Athletics,Athletics Men's 100 metres,No medal
193366,Norman (-trevor),M,India,IND,1900,Summer,Paris,Athletics,Athletics Men's 200 metres,Silver
193367,Norman (-trevor),M,India,IND,1900,Summer,Paris,Athletics,Athletics Men's 110 metres Hurdles,No medal
193368,Norman (-trevor),M,India,IND,1900,Summer,Paris,Athletics,Athletics Men's 200 metres Hurdles,Silver
13973,Purma Bannerjee,M,India,IND,1920,Summer,Antwerpen,Athletics,Athletics Men's 100 metres,No medal
13974,Purma Bannerjee,M,India,IND,1920,Summer,Antwerpen,Athletics,Athletics Men's 400 metres,No medal
38877,Phadeppa Chaugule,M,India,IND,1920,Summer,Antwerpen,Athletics,"Athletics Men's 10,000 metres",No medal
38878,Phadeppa Chaugule,M,India,IND,1920,Summer,Antwerpen,Athletics,Athletics Men's Marathon,No medal
49464,Sadashir Datar,M,India,IND,1920,Summer,Antwerpen,Athletics,Athletics Men's Marathon,No medal
168630,Kumar Navale,M,India,IND,1920,Summer,Antwerpen,Wrestling,"Wrestling Men's Middleweight, Freestyle",No medal
218652,Duikar Shindes,M,India,IND,1920,Summer,Antwerpen,Wrestling,"Wrestling Men's Featherweight, Freestyle",No medal
74352,Ali Fyzee,M,India,IND,1924,Summer,Paris,Tennis,Tennis Men's Singles,No medal
87992,Syed Hadi,M,India,IND,1924,Summer,Paris,Tennis,Tennis Men's Singles,No medal
88776,James Hall,M,India,IND,1924,Summer,Paris,Athletics,Athletics Men's 100 metres,No medal
88777,James Hall,M,India,IND,1924,Summer,Paris,Athletics,Athletics Men's 200 metres,No medal
95891,Wilfred Hildreth,M,India,IND,1924,Summer,Paris,Athletics,Athletics Men's 100 metres,No medal
95892,Wilfred Hildreth,M,India,IND,1924,Summer,Paris,Athletics,Athletics Men's 200 metres,No medal
105045,Sydney Jacob,M,India,IND,1924,Summer,Paris,Tennis,Tennis Men's Singles,No medal
105046,Sydney Jacob,M,India,IND,1924,Summer,Paris,Tennis,Tennis Mixed Doubles,No medal
131246,Cheruvari Lakshmanan,M,India,IND,1924,Summer,Paris,Athletics,Athletics Men's 110 metres Hurdles,No medal
189646,Terence Pitt,M,India,IND,1924,Summer,Paris,Athletics,Athletics Men's 100 metres,No medal
189647,Terence Pitt,M,India,IND,1924,Summer,Paris,Athletics,Athletics Men's 200 metres,No medal
189648,Terence Pitt,M,India,IND,1924,Summer,Paris,Athletics,Athletics Men's 400 metres,No medal
